"filename", "language", "Python", "HTML", "JavaScript", "PostCSS", "XML", "Markdown", "pip requirements", "comment", "blank", "total"
"d:\repo\Phoenix11\accounting\templates\accounting\includes\categories-app\list-script.html", "HTML", 0, 42, 0, 0, 0, 0, 0, 0, 7, 49
"d:\repo\Phoenix11\accounting\templates\accounting\includes\categories-app\list-template.html", "HTML", 0, 70, 0, 0, 0, 0, 0, 0, 22, 92
"d:\repo\Phoenix11\accounting\templates\accounting\includes\categories-app\script.html", "HTML", 0, 42, 0, 0, 0, 0, 0, 0, 7, 49
"d:\repo\Phoenix11\accounting\templates\accounting\includes\categories-app\template.html", "HTML", 0, 30, 0, 0, 0, 0, 0, 0, 11, 41
"d:\repo\Phoenix11\accounting\templates\accounting\includes\edit-financial-document-app\script.html", "HTML", 0, 39, 0, 0, 0, 0, 0, 0, 2, 41
"d:\repo\Phoenix11\accounting\templates\accounting\includes\edit-financial-document-app\template.html", "HTML", 0, 64, 0, 0, 0, 0, 0, 0, 8, 72
"d:\repo\Phoenix11\accounting\templates\accounting\includes\edit-financial-event-app\script.html", "HTML", 0, 53, 0, 0, 0, 0, 0, 0, 2, 55
"d:\repo\Phoenix11\accounting\templates\accounting\includes\edit-financial-event-app\template.html", "HTML", 0, 108, 0, 0, 0, 0, 0, 0, 13, 121
"d:\repo\Phoenix11\accounting\templates\accounting\includes\edit-invoice-app\script.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\repo\Phoenix11\accounting\templates\accounting\includes\edit-invoice-app\template.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\repo\Phoenix11\accounting\templates\accounting\includes\financial-document-app\card-content.html", "HTML", 0, 7, 0, 0, 0, 0, 0, 0, 1, 8
"d:\repo\Phoenix11\accounting\templates\accounting\includes\financial-document-app\script.html", "HTML", 0, 12, 0, 0, 0, 0, 0, 0, 5, 17
"d:\repo\Phoenix11\accounting\templates\accounting\includes\financial-document-app\select-script.html", "HTML", 0, 7, 0, 0, 0, 0, 0, 0, 0, 7
"d:\repo\Phoenix11\accounting\templates\accounting\includes\financial-document-line-app\script.html", "HTML", 0, 9, 0, 0, 0, 0, 0, 0, 0, 9
"d:\repo\Phoenix11\accounting\templates\accounting\includes\financial-document-lines-app\script.html", "HTML", 0, 41, 0, 0, 0, 0, 0, 0, 9, 50
"d:\repo\Phoenix11\accounting\templates\accounting\includes\financial-document-lines-app\template.html", "HTML", 0, 249, 0, 0, 0, 0, 0, 0, 29, 278
"d:\repo\Phoenix11\accounting\templates\accounting\includes\financial-documents-app\script.html", "HTML", 0, 19, 0, 0, 0, 0, 0, 0, 2, 21
"d:\repo\Phoenix11\accounting\templates\accounting\includes\financial-documents-app\template.html", "HTML", 0, 106, 0, 0, 0, 0, 0, 6, 48, 160
"d:\repo\Phoenix11\accounting\templates\accounting\includes\financial-event-app\card-contents.html", "HTML", 0, 36, 0, 0, 0, 0, 0, 0, 8, 44
"d:\repo\Phoenix11\accounting\templates\accounting\includes\financial-event-app\card.html", "HTML", 0, 11, 0, 0, 0, 0, 0, 0, 2, 13
"d:\repo\Phoenix11\accounting\templates\accounting\includes\financial-event-app\script.html", "HTML", 0, 14, 0, 0, 0, 0, 0, 0, 7, 21
"d:\repo\Phoenix11\accounting\templates\accounting\includes\financial-event-app\select-script.html", "HTML", 0, 7, 0, 0, 0, 0, 0, 0, 0, 7
"d:\repo\Phoenix11\accounting\templates\accounting\includes\financial-events-app\script.html", "HTML", 0, 19, 0, 0, 0, 0, 0, 0, 2, 21
"d:\repo\Phoenix11\accounting\templates\accounting\includes\financial-events-app\template.html", "HTML", 0, 142, 0, 0, 0, 0, 0, 6, 52, 200
"d:\repo\Phoenix11\accounting\templates\accounting\includes\financial-years-app\form.html", "HTML", 0, 63, 0, 0, 0, 0, 0, 0, 20, 83
"d:\repo\Phoenix11\accounting\templates\accounting\includes\financial-years-app\script.html", "HTML", 0, 50, 0, 0, 0, 0, 0, 0, 5, 55
"d:\repo\Phoenix11\accounting\templates\accounting\includes\financial-years-app\template.html", "HTML", 0, 104, 0, 0, 0, 0, 0, 6, 52, 162
"d:\repo\Phoenix11\accounting\templates\accounting\includes\import-from-excel\script.html", "HTML", 0, 52, 0, 0, 0, 0, 0, 0, 4, 56
"d:\repo\Phoenix11\accounting\templates\accounting\includes\import-from-excel\template.html", "HTML", 0, 55, 0, 0, 0, 0, 0, 0, 25, 80
"d:\repo\Phoenix11\accounting\templates\accounting\includes\import-products-from-excel-app\script.html", "HTML", 0, 49, 0, 0, 0, 0, 0, 0, 4, 53
"d:\repo\Phoenix11\accounting\templates\accounting\includes\import-products-from-excel-app\template.html", "HTML", 0, 68, 0, 0, 0, 0, 0, 0, 32, 100
"d:\repo\Phoenix11\accounting\templates\accounting\includes\import-services-from-excel-app\script.html", "HTML", 0, 49, 0, 0, 0, 0, 0, 0, 4, 53
"d:\repo\Phoenix11\accounting\templates\accounting\includes\import-services-from-excel-app\template.html", "HTML", 0, 68, 0, 0, 0, 0, 0, 0, 39, 107
"d:\repo\Phoenix11\accounting\templates\accounting\includes\invoice-app\card.html", "HTML", 0, 19, 0, 0, 0, 0, 0, 0, 5, 24
"d:\repo\Phoenix11\accounting\templates\accounting\includes\invoice-app\script.html", "HTML", 0, 8, 0, 0, 0, 0, 0, 0, 5, 13
"d:\repo\Phoenix11\accounting\templates\accounting\includes\invoice-line-item-app\card-contents.html", "HTML", 0, 6, 0, 0, 0, 0, 0, 0, 1, 7
"d:\repo\Phoenix11\accounting\templates\accounting\includes\invoice-line-item-app\card.html", "HTML", 0, 10, 0, 0, 0, 0, 0, 0, 4, 14
"d:\repo\Phoenix11\accounting\templates\accounting\includes\invoice-line-item-app\script.html", "HTML", 0, 5, 0, 0, 0, 0, 0, 0, 1, 6
"d:\repo\Phoenix11\accounting\templates\accounting\includes\invoice-line-item-units-app\script.html", "HTML", 0, 60, 0, 0, 0, 0, 0, 0, 3, 63
"d:\repo\Phoenix11\accounting\templates\accounting\includes\invoice-line-item-units-app\template.html", "HTML", 0, 209, 0, 0, 0, 0, 0, 6, 25, 240
"d:\repo\Phoenix11\accounting\templates\accounting\includes\invoice-lines-app\invoice-line-component-template.html", "HTML", 0, 27, 0, 0, 0, 0, 0, 0, 6, 33
"d:\repo\Phoenix11\accounting\templates\accounting\includes\invoice-lines-app\print-template.html", "HTML", 0, 193, 0, 0, 0, 0, 0, 21, 40, 254
"d:\repo\Phoenix11\accounting\templates\accounting\includes\invoice-lines-app\script.html", "HTML", 0, 77, 0, 0, 0, 0, 0, 0, 13, 90
"d:\repo\Phoenix11\accounting\templates\accounting\includes\invoice-lines-app\template.html", "HTML", 0, 286, 0, 0, 0, 0, 0, 11, 124, 421
"d:\repo\Phoenix11\accounting\templates\accounting\includes\invoices-app\script.html", "HTML", 0, 27, 0, 0, 0, 0, 0, 0, 4, 31
"d:\repo\Phoenix11\accounting\templates\accounting\includes\invoices-app\template.html", "HTML", 0, 130, 0, 0, 0, 0, 0, 0, 45, 175
"d:\repo\Phoenix11\accounting\templates\accounting\includes\navbar.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
